Iteration	Payoff	Chain	Status	Baseline Natural Flux	Atmospheric Lifetime of N2O	Effective Sensitivity of Temperature on N2O Flux	
2710	  -55304.004	8	2	   9233352.3	         200	        0.06	
2710	  -55305.881	9	2	   9230084.2	         200	        0.06	
2720	  -55304.034		2	   9233601.9	         200	        0.06	
2720	  -55304.078	1	2	     9232534	         200	        0.06	
2720	  -55718.091	2	2	   9433839.9	   196.57054	 0.059997026	
2720	   -55728.83	3	2	   9258070.3	   199.93223	 0.057514198	
2720	  -55304.265	4	2	   9232007.9	         200	        0.06	
2720	  -55304.188	5	2	   9234153.8	         200	        0.06	
2720	  -55305.243	6	2	   9235683.7	         200	        0.06	
2720	  -55391.812	7	1	   9251133.9	   199.48414	        0.06	
2720	  -55304.004	8	2	   9233352.3	         200	        0.06	
2720	  -55305.881	9	2	   9230084.2	         200	        0.06	
2730	  -55304.034		2	   9233601.9	         200	        0.06	
2730	  -55304.078	1	2	     9232534	         200	        0.06	
2730	  -55718.091	2	2	   9433839.9	   196.57054	 0.059997026	
2730	   -55728.83	3	2	   9258070.3	   199.93223	 0.057514198	
2730	  -55304.265	4	2	   9232007.9	         200	        0.06	
2730	  -55304.188	5	2	   9234153.8	         200	        0.06	
2730	  -55305.243	6	2	   9235683.7	         200	        0.06	
2730	  -55391.812	7	2	   9251133.9	   199.48414	        0.06	
2730	  -55304.004	8	2	   9233352.3	         200	        0.06	
2730	  -55306.193	9	1	   9229837.5	         200	        0.06	
2740	  -55304.034		2	   9233601.9	         200	        0.06	
2740	  -55304.078	1	2	     9232534	         200	        0.06	
2740	  -55718.091	2	2	   9433839.9	   196.57054	 0.059997026	
2740	   -55728.83	3	2	   9258070.3	   199.93223	 0.057514198	
2740	  -55304.265	4	2	   9232007.9	         200	        0.06	
2740	  -55304.188	5	2	   9234153.8	         200	        0.06	
2740	  -55304.002		7	   9233314.6	         200	        0.06	
2740	  -55304.002	6	1	   9233314.6	         200	        0.06	
2740	  -55378.733	7	1	   9253159.9	   199.49742	        0.06	
2740	   -55304.29	8	1	   9234388.5	         200	        0.06	
2740	  -55306.193	9	2	   9229837.5	         200	        0.06	
2750	  -55304.034		2	   9233601.9	         200	        0.06	
2750	  -55304.078	1	2	     9232534	         200	        0.06	
2750	  -55718.091	2	2	   9433839.9	   196.57054	 0.059997026	
2750	   -55728.83	3	2	   9258070.3	   199.93223	 0.057514198	
2750	  -55304.265	4	2	   9232007.9	         200	        0.06	
2750	  -55304.188	5	2	   9234153.8	         200	        0.06	
2750	  -55304.002	6	2	   9233314.6	         200	        0.06	
2750	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2750	   -55304.29	8	2	   9234388.5	         200	        0.06	
2750	  -55306.193	9	2	   9229837.5	         200	        0.06	
2760	  -55304.034		2	   9233601.9	         200	        0.06	
2760	  -55304.078	1	2	     9232534	         200	        0.06	
2760	  -55713.881	2	1	   9433839.9	   196.60292	        0.06	
2760	  -55726.067	3	1	     9257143	   199.93413	  0.05752734	
2760	  -55304.265	4	2	   9232007.9	         200	        0.06	
2760	  -55304.188	5	2	   9234153.8	         200	        0.06	
2760	  -55304.002	6	2	   9233314.6	         200	        0.06	
2760	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2760	   -55304.29	8	2	   9234388.5	         200	        0.06	
2760	  -55306.193	9	2	   9229837.5	         200	        0.06	
2770	  -55304.034		2	   9233601.9	         200	        0.06	
2770	  -55304.078	1	2	     9232534	         200	        0.06	
2770	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2770	  -55726.067	3	2	     9257143	   199.93413	  0.05752734	
2770	  -55304.265	4	2	   9232007.9	         200	        0.06	
2770	  -55304.188	5	2	   9234153.8	         200	        0.06	
2770	  -55304.002	6	2	   9233314.6	         200	        0.06	
2770	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2770	   -55304.29	8	2	   9234388.5	         200	        0.06	
2770	  -55306.193	9	2	   9229837.5	         200	        0.06	
2780	  -55304.034		2	   9233601.9	         200	        0.06	
2780	  -55304.078	1	2	     9232534	         200	        0.06	
2780	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2780	  -55726.067	3	2	     9257143	   199.93413	  0.05752734	
2780	  -55304.265	4	2	   9232007.9	         200	        0.06	
2780	  -55304.188	5	2	   9234153.8	         200	        0.06	
2780	  -55304.002	6	2	   9233314.6	         200	        0.06	
2780	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2780	   -55304.29	8	2	   9234388.5	         200	        0.06	
2780	  -55306.193	9	2	   9229837.5	         200	        0.06	
2790	  -55304.015		1	     9233471	         200	        0.06	
2790	  -55304.078	1	2	     9232534	         200	        0.06	
2790	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2790	  -55720.289	3	1	   9256700.2	   199.92771	 0.057565174	
2790	  -55304.265	4	2	   9232007.9	         200	        0.06	
2790	  -55304.188	5	2	   9234153.8	         200	        0.06	
2790	  -55304.002	6	2	   9233314.6	         200	        0.06	
2790	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2790	   -55304.29	8	2	   9234388.5	         200	        0.06	
2790	   -55305.88	9	1	   9231537.7	         200	 0.059991939	
2800	  -55304.015		2	     9233471	         200	        0.06	
2800	  -55304.078	1	2	     9232534	         200	        0.06	
2800	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2800	  -55720.289	3	2	   9256700.2	   199.92771	 0.057565174	
2800	  -55304.265	4	2	   9232007.9	         200	        0.06	
2800	  -55304.188	5	2	   9234153.8	         200	        0.06	
2800	  -55304.002	6	2	   9233314.6	         200	        0.06	
2800	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2800	   -55304.29	8	2	   9234388.5	         200	        0.06	
2800	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2810	  -55304.015		2	     9233471	         200	        0.06	
2810	  -55304.078	1	2	     9232534	         200	        0.06	
2810	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2810	  -55720.289	3	2	   9256700.2	   199.92771	 0.057565174	
2810	  -55304.265	4	2	   9232007.9	         200	        0.06	
2810	  -55304.188	5	2	   9234153.8	         200	        0.06	
2810	  -55304.002	6	2	   9233314.6	         200	        0.06	
2810	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2810	   -55304.29	8	2	   9234388.5	         200	        0.06	
2810	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2820	  -55304.015		2	     9233471	         200	        0.06	
2820	  -55304.078	1	2	     9232534	         200	        0.06	
2820	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2820	  -55720.289	3	2	   9256700.2	   199.92771	 0.057565174	
2820	  -55304.265	4	2	   9232007.9	         200	        0.06	
2820	  -55304.188	5	2	   9234153.8	         200	        0.06	
2820	  -55304.002	6	2	   9233314.6	         200	        0.06	
2820	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2820	   -55304.29	8	2	   9234388.5	         200	        0.06	
2820	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2830	  -55304.015		2	     9233471	         200	        0.06	
2830	  -55304.078	1	2	     9232534	         200	        0.06	
2830	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2830	  -55720.289	3	2	   9256700.2	   199.92771	 0.057565174	
2830	  -55304.265	4	2	   9232007.9	         200	        0.06	
2830	  -55304.188	5	2	   9234153.8	         200	        0.06	
2830	  -55304.002	6	2	   9233314.6	         200	        0.06	
2830	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2830	   -55304.29	8	2	   9234388.5	         200	        0.06	
2830	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2840	  -55304.015		2	     9233471	         200	        0.06	
2840	  -55304.078	1	2	     9232534	         200	        0.06	
2840	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2840	  -55720.289	3	2	   9256700.2	   199.92771	 0.057565174	
2840	  -55304.265	4	2	   9232007.9	         200	        0.06	
2840	  -55304.188	5	2	   9234153.8	         200	        0.06	
2840	  -55304.002	6	2	   9233314.6	         200	        0.06	
2840	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2840	   -55304.29	8	2	   9234388.5	         200	        0.06	
2840	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2850	  -55304.015		2	     9233471	         200	        0.06	
2850	  -55304.078	1	2	     9232534	         200	        0.06	
2850	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2850	  -55719.204	3	1	   9256700.2	   199.93703	 0.057565174	
2850	  -55304.265	4	2	   9232007.9	         200	        0.06	
2850	  -55304.188	5	2	   9234153.8	         200	        0.06	
2850	  -55304.002	6	2	   9233314.6	         200	        0.06	
2850	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2850	   -55304.29	8	2	   9234388.5	         200	        0.06	
2850	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2860	   -55305.11		1	   9235545.3	         200	        0.06	
2860	  -55304.078	1	2	     9232534	         200	        0.06	
2860	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2860	  -55714.184	3	1	   9256742.2	   199.94121	 0.057592353	
2860	  -55304.265	4	2	   9232007.9	         200	        0.06	
2860	  -55304.188	5	2	   9234153.8	         200	        0.06	
2860	  -55304.002	6	2	   9233314.6	         200	        0.06	
2860	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2860	   -55304.29	8	2	   9234388.5	         200	        0.06	
2860	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2870	   -55305.11		2	   9235545.3	         200	        0.06	
2870	  -55304.078	1	2	     9232534	         200	        0.06	
2870	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2870	  -55714.184	3	2	   9256742.2	   199.94121	 0.057592353	
2870	  -55304.265	4	2	   9232007.9	         200	        0.06	
2870	  -55304.188	5	2	   9234153.8	         200	        0.06	
2870	  -55304.002	6	2	   9233314.6	         200	        0.06	
2870	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2870	   -55304.29	8	2	   9234388.5	         200	        0.06	
2870	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2880	   -55305.11		2	   9235545.3	         200	        0.06	
2880	  -55304.078	1	2	     9232534	         200	        0.06	
2880	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2880	  -55714.184	3	2	   9256742.2	   199.94121	 0.057592353	
2880	  -55304.963	4	1	     9233669	   199.99167	        0.06	
2880	  -55304.652	5	1	   9231351.8	         200	        0.06	
2880	  -55304.002	6	2	   9233314.6	         200	        0.06	
2880	  -55378.733	7	2	   9253159.9	   199.49742	        0.06	
2880	   -55304.29	8	2	   9234388.5	         200	        0.06	
2880	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2890	   -55305.11		2	   9235545.3	         200	        0.06	
2890	  -55304.078	1	2	     9232534	         200	        0.06	
2890	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2890	  -55695.652	3	1	   9253628.1	   199.94621	 0.057696208	
2890	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2890	  -55304.652	5	2	   9231351.8	         200	        0.06	
2890	  -55304.002	6	2	   9233314.6	         200	        0.06	
2890	  -55364.073	7	1	   9259452.9	   199.49742	        0.06	
2890	   -55304.29	8	2	   9234388.5	         200	        0.06	
2890	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2900	   -55305.11		2	   9235545.3	         200	        0.06	
2900	  -55304.078	1	2	     9232534	         200	        0.06	
2900	  -55713.881	2	2	   9433839.9	   196.60292	        0.06	
2900	  -55668.787	3	1	   9253628.1	   199.94621	 0.057852428	
2900	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2900	  -55304.516	5	1	   9231551.2	         200	        0.06	
2900	  -55304.002	6	2	   9233314.6	         200	        0.06	
2900	  -55364.073	7	2	   9259452.9	   199.49742	        0.06	
2900	   -55304.29	8	2	   9234388.5	         200	        0.06	
2900	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2910	   -55305.11		2	   9235545.3	         200	        0.06	
2910	  -55304.078	1	2	     9232534	         200	        0.06	
2910	  -55706.401	2	1	   9423199.4	   197.00715	        0.06	
2910	  -55668.787	3	2	   9253628.1	   199.94621	 0.057852428	
2910	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2910	  -55304.516	5	2	   9231551.2	         200	        0.06	
2910	  -55304.002	6	2	   9233314.6	         200	        0.06	
2910	  -55364.073	7	2	   9259452.9	   199.49742	        0.06	
2910	   -55304.29	8	2	   9234388.5	         200	        0.06	
2910	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2920	   -55305.11		2	   9235545.3	         200	        0.06	
2920	  -55304.078	1	2	     9232534	         200	        0.06	
2920	  -55706.668	2	1	   9421706.9	   197.04684	        0.06	
2920	  -55668.787	3	2	   9253628.1	   199.94621	 0.057852428	
2920	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2920	  -55304.516	5	2	   9231551.2	         200	        0.06	
2920	  -55304.002	6	2	   9233314.6	         200	        0.06	
2920	  -55364.073	7	2	   9259452.9	   199.49742	        0.06	
2920	   -55304.29	8	2	   9234388.5	         200	        0.06	
2920	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2930	   -55305.11		2	   9235545.3	         200	        0.06	
2930	  -55304.078	1	2	     9232534	         200	        0.06	
2930	  -55664.182	2	1	     9411506	   197.05133	        0.06	
2930	  -55668.787	3	2	   9253628.1	   199.94621	 0.057852428	
2930	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2930	  -55304.516	5	2	   9231551.2	         200	        0.06	
2930	  -55304.002	6	2	   9233314.6	         200	        0.06	
2930	  -55364.073	7	2	   9259452.9	   199.49742	        0.06	
2930	   -55304.29	8	2	   9234388.5	         200	        0.06	
2930	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2940	   -55305.11		2	   9235545.3	         200	        0.06	
2940	  -55304.078	1	2	     9232534	         200	        0.06	
2940	  -55664.182	2	2	     9411506	   197.05133	        0.06	
2940	  -55668.787	3	2	   9253628.1	   199.94621	 0.057852428	
2940	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2940	  -55304.516	5	2	   9231551.2	         200	        0.06	
2940	  -55304.002	6	2	   9233314.6	         200	        0.06	
2940	  -55364.073	7	2	   9259452.9	   199.49742	        0.06	
2940	   -55304.29	8	2	   9234388.5	         200	        0.06	
2940	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2950	   -55305.11		2	   9235545.3	         200	        0.06	
2950	  -55304.078	1	2	     9232534	         200	        0.06	
2950	  -55664.182	2	2	     9411506	   197.05133	        0.06	
2950	  -55668.787	3	2	   9253628.1	   199.94621	 0.057852428	
2950	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2950	  -55304.516	5	2	   9231551.2	         200	        0.06	
2950	  -55304.002	6	2	   9233314.6	         200	        0.06	
2950	  -55364.069	7	1	   9264969.9	   199.49742	        0.06	
2950	   -55304.29	8	2	   9234388.5	         200	        0.06	
2950	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2960	   -55305.11		2	   9235545.3	         200	        0.06	
2960	  -55304.078	1	2	     9232534	         200	        0.06	
2960	  -55660.948	2	1	   9409895.7	   197.08614	        0.06	
2960	  -55668.787	3	2	   9253628.1	   199.94621	 0.057852428	
2960	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2960	  -55304.516	5	2	   9231551.2	         200	        0.06	
2960	  -55304.002	6	2	   9233314.6	         200	        0.06	
2960	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
2960	   -55304.29	8	2	   9234388.5	         200	        0.06	
2960	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2970	   -55305.11		2	   9235545.3	         200	        0.06	
2970	  -55304.078	1	2	     9232534	         200	        0.06	
2970	  -55660.948	2	2	   9409895.7	   197.08614	        0.06	
2970	  -55668.787	3	2	   9253628.1	   199.94621	 0.057852428	
2970	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2970	  -55304.516	5	2	   9231551.2	         200	        0.06	
2970	  -55304.002	6	2	   9233314.6	         200	        0.06	
2970	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
2970	   -55304.29	8	2	   9234388.5	         200	        0.06	
2970	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2980	   -55305.11		2	   9235545.3	         200	        0.06	
2980	  -55304.191	1	1	   9232181.8	         200	        0.06	
2980	  -55659.134	2	1	   9405554.9	     197.073	 0.059976386	
2980	  -55656.287	3	1	   9254539.2	   199.98215	 0.057916708	
2980	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2980	  -55304.516	5	2	   9231551.2	         200	        0.06	
2980	  -55304.002	6	2	   9233314.6	         200	        0.06	
2980	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
2980	   -55304.29	8	2	   9234388.5	         200	        0.06	
2980	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
2990	   -55305.11		2	   9235545.3	         200	        0.06	
2990	  -55304.191	1	2	   9232181.8	         200	        0.06	
2990	  -55659.134	2	2	   9405554.9	     197.073	 0.059976386	
2990	  -55656.287	3	2	   9254539.2	   199.98215	 0.057916708	
2990	  -55304.963	4	2	     9233669	   199.99167	        0.06	
2990	  -55304.516	5	2	   9231551.2	         200	        0.06	
2990	  -55304.002	6	2	   9233314.6	         200	        0.06	
2990	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
2990	   -55304.29	8	2	   9234388.5	         200	        0.06	
2990	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3000	   -55305.11		2	   9235545.3	         200	        0.06	
3000	  -55304.191	1	2	   9232181.8	         200	        0.06	
3000	  -55659.134	2	2	   9405554.9	     197.073	 0.059976386	
3000	  -55656.287	3	2	   9254539.2	   199.98215	 0.057916708	
3000	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3000	  -55304.516	5	2	   9231551.2	         200	        0.06	
3000	  -55304.002	6	2	   9233314.6	         200	        0.06	
3000	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
3000	   -55304.29	8	2	   9234388.5	         200	        0.06	
3000	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3010	  -55305.696		1	   9236043.8	   199.99864	        0.06	
3010	  -55304.191	1	2	   9232181.8	         200	        0.06	
3010	  -55653.941	2	1	   9403831.6	   197.09611	 0.059989394	
3010	  -55656.287	3	2	   9254539.2	   199.98215	 0.057916708	
3010	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3010	  -55304.516	5	2	   9231551.2	         200	        0.06	
3010	  -55304.002	6	2	   9233314.6	         200	        0.06	
3010	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
3010	   -55304.29	8	2	   9234388.5	         200	        0.06	
3010	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3020	  -55305.696		2	   9236043.8	   199.99864	        0.06	
3020	  -55304.191	1	2	   9232181.8	         200	        0.06	
3020	  -55606.978	2	1	   9381202.8	   197.46114	        0.06	
3020	  -55656.287	3	2	   9254539.2	   199.98215	 0.057916708	
3020	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3020	  -55304.516	5	2	   9231551.2	         200	        0.06	
3020	  -55304.002	6	2	   9233314.6	         200	        0.06	
3020	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
3020	   -55304.29	8	2	   9234388.5	         200	        0.06	
3020	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3030	  -55305.696		2	   9236043.8	   199.99864	        0.06	
3030	  -55304.191	1	2	   9232181.8	         200	        0.06	
3030	  -55606.978	2	2	   9381202.8	   197.46114	        0.06	
3030	  -55656.287	3	2	   9254539.2	   199.98215	 0.057916708	
3030	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3030	  -55304.516	5	2	   9231551.2	         200	        0.06	
3030	  -55304.002	6	2	   9233314.6	         200	        0.06	
3030	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
3030	   -55304.29	8	2	   9234388.5	         200	        0.06	
3030	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3040	  -55305.696		2	   9236043.8	   199.99864	        0.06	
3040	  -55304.191	1	2	   9232181.8	         200	        0.06	
3040	  -55606.978	2	2	   9381202.8	   197.46114	        0.06	
3040	  -55647.048	3	1	   9253503.9	   199.93571	  0.05798782	
3040	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3040	  -55306.344	5	1	   9231551.2	         200	 0.059989128	
3040	  -55304.002	6	2	   9233314.6	         200	        0.06	
3040	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
3040	   -55304.29	8	2	   9234388.5	         200	        0.06	
3040	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3050	  -55305.696		2	   9236043.8	   199.99864	        0.06	
3050	  -55304.191	1	2	   9232181.8	         200	        0.06	
3050	  -55605.155	2	1	   9377063.6	   197.49086	 0.059997049	
3050	  -55647.048	3	2	   9253503.9	   199.93571	  0.05798782	
3050	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3050	  -55306.344	5	2	   9231551.2	         200	 0.059989128	
3050	  -55304.002	6	2	   9233314.6	         200	        0.06	
3050	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
3050	   -55304.29	8	2	   9234388.5	         200	        0.06	
3050	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3060	  -55305.696		2	   9236043.8	   199.99864	        0.06	
3060	  -55304.191	1	2	   9232181.8	         200	        0.06	
3060	  -55605.155	2	2	   9377063.6	   197.49086	 0.059997049	
3060	  -55642.893	3	1	   9253503.9	         200	  0.05798782	
3060	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3060	  -55306.344	5	2	   9231551.2	         200	 0.059989128	
3060	  -55304.002	6	2	   9233314.6	         200	        0.06	
3060	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
3060	   -55304.29	8	2	   9234388.5	         200	        0.06	
3060	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3070	  -55305.696		2	   9236043.8	   199.99864	        0.06	
3070	  -55304.191	1	2	   9232181.8	         200	        0.06	
3070	  -55605.155	2	2	   9377063.6	   197.49086	 0.059997049	
3070	  -55636.405	3	1	   9256029.6	         200	 0.058070119	
3070	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3070	  -55306.344	5	2	   9231551.2	         200	 0.059989128	
3070	  -55304.002	6	2	   9233314.6	         200	        0.06	
3070	  -55364.069	7	2	   9264969.9	   199.49742	        0.06	
3070	   -55304.29	8	2	   9234388.5	         200	        0.06	
3070	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3080	  -55305.696		2	   9236043.8	   199.99864	        0.06	
3080	  -55304.191	1	2	   9232181.8	         200	        0.06	
3080	  -55605.155	2	2	   9377063.6	   197.49086	 0.059997049	
3080	  -55636.405	3	2	   9256029.6	         200	 0.058070119	
3080	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3080	  -55306.344	5	2	   9231551.2	         200	 0.059989128	
3080	  -55304.002	6	2	   9233314.6	         200	        0.06	
3080	  -55366.409	7	1	   9266624.9	   199.49742	        0.06	
3080	   -55304.29	8	2	   9234388.5	         200	        0.06	
3080	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3090	  -55305.696		2	   9236043.8	   199.99864	        0.06	
3090	  -55304.191	1	2	   9232181.8	         200	        0.06	
3090	  -55569.947	2	1	   9350905.6	   197.85212	        0.06	
3090	  -55636.405	3	2	   9256029.6	         200	 0.058070119	
3090	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3090	  -55304.935	5	1	   9231551.2	         200	  0.05999751	
3090	  -55304.002	6	2	   9233314.6	         200	        0.06	
3090	  -55366.409	7	2	   9266624.9	   199.49742	        0.06	
3090	   -55304.29	8	2	   9234388.5	         200	        0.06	
3090	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3100	  -55305.696		2	   9236043.8	   199.99864	        0.06	
3100	  -55304.191	1	2	   9232181.8	         200	        0.06	
3100	  -55569.947	2	2	   9350905.6	   197.85212	        0.06	
3100	  -55636.405	3	2	   9256029.6	         200	 0.058070119	
3100	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3100	  -55304.516	5	1	   9231551.2	         200	        0.06	
3100	  -55304.598	6	1	     9231429	         200	        0.06	
3100	  -55366.409	7	2	   9266624.9	   199.49742	        0.06	
3100	   -55304.29	8	2	   9234388.5	         200	        0.06	
3100	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3110	  -55305.696		2	   9236043.8	   199.99864	        0.06	
3110	  -55304.191	1	2	   9232181.8	         200	        0.06	
3110	  -55557.634	2	1	   9352720.3	   197.88574	        0.06	
3110	  -55636.405	3	2	   9256029.6	         200	 0.058070119	
3110	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3110	  -55304.516	5	2	   9231551.2	         200	        0.06	
3110	  -55304.598	6	2	     9231429	         200	        0.06	
3110	   -55366.01	7	1	     9266313	   199.49274	        0.06	
3110	   -55304.29	8	2	   9234388.5	         200	        0.06	
3110	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3120	  -55305.626		1	   9236043.8	         200	        0.06	
3120	  -55304.191	1	2	   9232181.8	         200	        0.06	
3120	  -55557.634	2	2	   9352720.3	   197.88574	        0.06	
3120	  -55636.405	3	2	   9256029.6	         200	 0.058070119	
3120	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3120	  -55304.516	5	2	   9231551.2	         200	        0.06	
3120	  -55304.598	6	2	     9231429	         200	        0.06	
3120	   -55366.01	7	2	     9266313	   199.49274	        0.06	
3120	   -55304.29	8	2	   9234388.5	         200	        0.06	
3120	   -55305.88	9	2	   9231537.7	         200	 0.059991939	
3130	  -55305.626		2	   9236043.8	         200	        0.06	
3130	  -55304.191	1	2	   9232181.8	         200	        0.06	
3130	  -55557.634	2	2	   9352720.3	   197.88574	        0.06	
3130	  -55636.405	3	2	   9256029.6	         200	 0.058070119	
3130	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3130	  -55304.516	5	2	   9231551.2	         200	        0.06	
3130	  -55304.598	6	2	     9231429	         200	        0.06	
3130	   -55366.01	7	2	     9266313	   199.49274	        0.06	
3130	   -55304.29	8	2	   9234388.5	         200	        0.06	
3130	  -55304.057	9	1	   9232621.6	         200	        0.06	
3140	  -55305.626		2	   9236043.8	         200	        0.06	
3140	  -55304.191	1	2	   9232181.8	         200	        0.06	
3140	  -55557.634	2	2	   9352720.3	   197.88574	        0.06	
3140	  -55636.405	3	2	   9256029.6	         200	 0.058070119	
3140	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3140	  -55304.516	5	2	   9231551.2	         200	        0.06	
3140	  -55304.598	6	2	     9231429	         200	        0.06	
3140	   -55366.01	7	2	     9266313	   199.49274	        0.06	
3140	  -55304.139	8	1	   9234019.7	         200	        0.06	
3140	  -55304.057	9	2	   9232621.6	         200	        0.06	
3150	  -55304.889		1	   9232457.3	         200	 0.059995214	
3150	  -55304.191	1	2	   9232181.8	         200	        0.06	
3150	   -55518.45	2	1	   9332653.8	   198.22118	 0.059994766	
3150	  -55636.405	3	2	   9256029.6	         200	 0.058070119	
3150	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3150	  -55304.516	5	2	   9231551.2	         200	        0.06	
3150	   -55304.29	6	1	     9234388	         200	        0.06	
3150	   -55366.01	7	2	     9266313	   199.49274	        0.06	
3150	  -55304.139	8	2	   9234019.7	         200	        0.06	
3150	  -55304.057	9	2	   9232621.6	         200	        0.06	
3160	  -55304.889		2	   9232457.3	         200	 0.059995214	
3160	  -55304.191	1	2	   9232181.8	         200	        0.06	
3160	  -55494.793	2	1	   9308530.1	   198.54914	 0.059977915	
3160	  -55636.405	3	2	   9256029.6	         200	 0.058070119	
3160	  -55304.963	4	2	     9233669	   199.99167	        0.06	
3160	  -55304.516	5	2	   9231551.2	         200	        0.06	
